player,attempts,made,expected_made,kick_plus
Cameron Dicker,138,129,118.8,108.6
Brandon Aubrey,127,112,103.2,108.5
Justin Tucker,468,417,390.3,106.8
Jason Hanson,330,277,260.2,106.5
Mike Vanderjagt,170,144,135.8,106.0
John Kasay,303,253,240.7,105.1
Joe Nedney,209,175,167.3,104.6
Josh Lambo,147,128,122.6,104.4
Matt Stover,269,234,224.2,104.4
Eddy Pineiro,155,139,133.3,104.3
Rob Bironas,274,235,225.8,104.1
Jason Elam,276,230,221.4,103.9
Chris Boswell,341,299,288.0,103.8
Morten Andersen,147,124,119.6,103.7
Harrison Butker,284,251,242.2,103.6
Ka'imi Fairbairn,291,255,246.1,103.6
Jeff Wilkins,211,176,169.9,103.6
Shayne Graham,324,277,268.3,103.2
Sebastian Janikowski,507,413,400.2,103.2
Josh Brown,380,319,309.9,102.9
Nate Kaeding,210,181,175.9,102.9
Matt Bryant,464,397,386.8,102.6
Jason Myers,347,297,289.4,102.6
Neil Rackers,309,252,245.6,102.6
Ryan Longwell,303,250,244.3,102.3
Robbie Gould,517,447,437.1,102.3
Adam Vinatieri,546,463,453.9,102.0
Dan Bailey,290,249,244.1,102.0
John Carney,254,214,210.1,101.8
Chase McLaughlin,186,158,155.4,101.7
Dan Carpenter,281,236,232.2,101.6
Daniel Carlson,259,225,221.4,101.6
Wil Lutz,295,254,250.2,101.5
Steven Hauschka,310,264,260.1,101.5
Kai Forbath,154,133,131.1,101.5
Phil Dawson,491,416,411.5,101.1
Matt Prater,507,425,420.8,101.0
Nick Folk,507,431,426.8,101.0
Jason Sanders,221,187,185.5,100.8
Stephen Gostkowski,453,391,388.1,100.8
Evan McPherson,143,119,118.3,100.6
Matt Gay,216,182,180.9,100.6
Jay Feely,402,332,330.1,100.6
Younghoe Koo,217,185,184.6,100.2
Graham Gano,408,342,341.7,100.1
Cairo Santos,312,266,266.0,100.0
Shaun Suisham,245,209,209.0,100.0
John Hall,131,102,102.2,99.8
Riley Patterson,103,90,90.3,99.7
Connor Barth,203,168,168.7,99.6
Brandon McManus,362,297,298.7,99.4
Dustin Hopkins,287,241,242.5,99.4
Jake Elliott,258,216,217.9,99.1
Greg Zuerlein,411,338,341.1,99.1
Josh Scobee,301,241,243.5,99.0
David Akers,436,354,357.8,99.0
Joey Slye,215,175,176.9,98.9
Jeff Reed,258,212,214.5,98.8
Paul Edinger,153,114,115.5,98.7
Cody Parkey,143,121,122.9,98.4
Blair Walsh,187,154,156.6,98.3
Chandler Catanzaro,142,119,121.2,98.2
Ryan Succop,386,320,326.5,98.0
Rian Lindell,357,288,293.9,98.0
Randy Bullock,259,216,220.6,97.9
Tyler Bass,155,131,133.8,97.9
Mike Badgley,131,109,111.4,97.8
Olindo Mare,299,239,244.4,97.8
Zane Gonzalez,142,115,117.9,97.5
Lawrence Tynes,233,190,195.8,97.0
Mason Crosby,492,400,412.7,96.9
Greg Joseph,141,116,120.0,96.7
Todd Peterson,118,92,95.2,96.7
Nick Novak,222,182,188.8,96.4
Blake Grupe,105,86,89.3,96.3
Brett Maher,139,111,115.4,96.2
Mike Nugent,327,265,275.6,96.2
Kris Brown,270,205,214.4,95.6
Garrett Hartley,104,85,89.9,94.6
Caleb Sturgis,150,120,127.5,94.2
Martin Gramatica,135,99,105.5,93.9
Billy Cundiff,234,179,194.1,92.2
