player,bucket,attempts,made,expected_made,kick_plus
Kris Brown,20-29,64,60,61.5,97.6
Kris Brown,30-39,84,67,71.8,93.3
Kris Brown,40-49,89,60,61.7,97.3
Kris Brown,50-59,29,15,15.5,96.8
Jay Feely,<20,2,2,1.9,105.3
Jay Feely,20-29,108,102,103.6,98.4
Jay Feely,30-39,138,119,118.4,100.5
Jay Feely,40-49,122,91,88.6,102.7
Jay Feely,50-59,30,17,17.2,98.8
Jason Elam,20-29,87,85,83.3,102.0
Jason Elam,30-39,68,60,57.9,103.7
Jason Elam,40-49,95,70,66.3,105.6
Jason Elam,50-59,24,14,13.0,107.8
Matt Stover,20-29,95,94,90.9,103.4
Matt Stover,30-39,74,68,63.3,107.5
Matt Stover,40-49,87,64,60.9,105.0
Todd Peterson,20-29,34,28,32.4,86.4
Todd Peterson,30-39,42,36,35.2,102.2
Todd Peterson,40-49,33,23,21.6,106.4
Todd Peterson,50-59,7,3,4.0,74.8
Mike Vanderjagt,20-29,55,52,52.5,99.1
Mike Vanderjagt,30-39,44,39,36.8,106.0
Mike Vanderjagt,40-49,59,43,39.3,109.4
Mike Vanderjagt,50-59,10,8,5.3,150.7
Brett Conway,20-29,11,11,10.5,105.1
Brett Conway,30-39,21,15,17.6,85.2
Brett Conway,40-49,18,12,11.3,105.9
Brett Conway,50-59,2,2,1.1,184.2
Wade Richey,20-29,15,13,14.2,91.5
Wade Richey,30-39,7,4,5.9,67.3
Wade Richey,40-49,7,3,4.2,71.7
Wade Richey,50-59,5,2,2.7,75.3
Rian Lindell,20-29,109,104,104.5,99.5
Rian Lindell,30-39,108,97,93.4,103.9
Rian Lindell,40-49,101,66,72.5,91.0
Rian Lindell,50-59,34,17,19.4,87.6
John Carney,20-29,73,71,70.0,101.4
John Carney,30-39,97,83,82.4,100.7
John Carney,40-49,71,51,48.8,104.5
John Carney,50-59,9,5,4.9,102.5
David Akers,<20,8,8,7.9,101.3
David Akers,20-29,120,118,115.1,102.5
David Akers,30-39,129,112,111.6,100.4
David Akers,40-49,133,91,96.5,94.3
David Akers,50-59,44,24,26.2,91.5
Paul Edinger,20-29,33,31,31.5,98.5
Paul Edinger,30-39,40,26,33.4,77.8
Paul Edinger,40-49,57,42,37.9,110.9
John Hall,<20,3,3,2.9,103.4
John Hall,20-29,34,34,32.4,105.1
John Hall,30-39,37,31,31.0,100.0
John Hall,40-49,41,27,27.4,98.4
John Hall,50-59,16,7,8.5,82.6
Ryan Longwell,20-29,77,75,73.9,101.5
Ryan Longwell,30-39,99,87,84.6,102.9
Ryan Longwell,40-49,93,65,65.1,99.9
Ryan Longwell,50-59,30,19,16.9,112.4
Jason Hanson,<20,5,5,4.9,102.0
Jason Hanson,20-29,73,72,69.9,103.0
Jason Hanson,30-39,92,85,79.1,107.5
Jason Hanson,40-49,106,80,76.4,104.7
Jason Hanson,50-59,53,35,29.9,116.9
Adam Vinatieri,<20,5,5,4.9,102.0
Adam Vinatieri,20-29,151,147,145.7,100.9
Adam Vinatieri,30-39,164,142,143.9,98.7
Adam Vinatieri,40-49,164,130,121.3,107.1
Adam Vinatieri,50-59,61,39,37.8,103.2
Martin Gramatica,20-29,36,33,34.3,96.2
Martin Gramatica,30-39,43,36,36.2,99.4
Martin Gramatica,40-49,42,22,28.6,76.8
Martin Gramatica,50-59,12,8,6.3,126.9
Jeff Wilkins,20-29,65,63,62.0,101.6
Jeff Wilkins,30-39,55,49,46.5,105.3
Jeff Wilkins,40-49,76,51,52.8,96.6
Jeff Wilkins,50-59,14,12,7.5,159.3
Morten Andersen,20-29,42,41,40.0,102.4
Morten Andersen,30-39,51,48,43.5,110.4
Morten Andersen,40-49,45,31,30.9,100.3
Morten Andersen,50-59,8,3,4.2,71.2
Sebastian Janikowski,20-29,111,108,106.8,101.1
Sebastian Janikowski,30-39,135,122,118.4,103.0
Sebastian Janikowski,40-49,157,121,115.2,105.1
Sebastian Janikowski,50-59,89,54,52.3,103.3
John Kasay,20-29,90,90,86.3,104.3
John Kasay,30-39,68,64,58.5,109.4
John Kasay,40-49,92,71,65.6,108.2
