player,<20_kick_plus,<20_att,<20_sample_tag,20-29_kick_plus,20-29_att,20-29_sample_tag,30-39_kick_plus,30-39_att,30-39_sample_tag,40-49_kick_plus,40-49_att,40-49_sample_tag,50-59_kick_plus,50-59_att,50-59_sample_tag,60+_kick_plus,60+_att,60+_sample_tag
Aaron Elling,,,,104.0,8,small,80.8,9,small,82.4,7,small,,4,insufficient,,,
Aaron Pettrey,,1,insufficient,,2,insufficient,,,,,1,insufficient,,,,,,
Adam Vinatieri,102.0,5,small,100.9,151,normal,98.7,164,normal,107.1,164,normal,103.2,61,normal,,1,insufficient
Aldrick Rosas,,,,102.0,26,moderate,92.8,27,moderate,76.8,22,moderate,94.3,16,moderate,,,
Alex Henery,,,,99.6,27,moderate,96.9,28,moderate,98.1,28,moderate,77.5,6,small,,2,insufficient
Anders Carlson,,,,102.1,9,small,105.8,16,moderate,76.6,15,moderate,121.5,7,small,,1,insufficient
Andre Szmyt,,,,,4,insufficient,97.8,11,moderate,98.8,6,small,118.9,6,small,,,
Andrew Franks,,1,insufficient,87.3,13,moderate,107.9,10,moderate,72.2,9,small,,3,insufficient,,1,insufficient
Andy Borregales,,2,insufficient,102.0,6,small,95.6,9,small,75.4,11,moderate,,4,insufficient,,,
Austin Seibert,,,,102.5,16,moderate,107.8,27,moderate,103.3,32,moderate,53.3,11,moderate,,,
Ben Sauls,,,,,3,insufficient,,4,insufficient,,1,insufficient,,,,,,
Bill Gramatica,,1,insufficient,99.3,17,moderate,106.2,9,small,107.2,15,moderate,64.0,6,small,,,
Billy Cundiff,,4,insufficient,103.9,64,normal,87.7,75,normal,97.7,68,normal,38.5,21,moderate,,2,insufficient
Blair Walsh,,3,insufficient,100.1,38,moderate,94.6,62,normal,95.5,49,normal,109.5,34,moderate,,,
Blake Grupe,,,,93.8,25,moderate,95.6,29,moderate,93.9,24,moderate,102.3,25,moderate,,2,insufficient
Brad Daluiso,,,,,2,insufficient,,1,insufficient,,1,insufficient,,,,,,
Bradley Pinion,,,,,,,,,,,,,,,,,1,insufficient
Brandon Aubrey,,,,102.0,23,moderate,92.0,30,moderate,117.2,30,moderate,117.2,35,moderate,157.7,9,small
Brandon Coutu,,,,,,,,,,,1,insufficient,,,,,,
Brandon McManus,,,,97.5,85,normal,102.7,92,normal,105.1,95,normal,93.6,80,normal,29.9,10,moderate
Brayden Narveson,,,,,4,insufficient,,4,insufficient,72.4,9,small,,1,insufficient,,,
Brett Conway,,1,insufficient,105.1,11,moderate,85.2,21,moderate,105.9,18,moderate,,2,insufficient,,,
Brett Maher,,,,101.7,35,moderate,91.8,34,moderate,89.8,36,moderate,90.1,30,moderate,,4,insufficient
Brian Johnson,,,,100.8,5,small,,3,insufficient,,1,insufficient,,1,insufficient,,,
Cade York,,,,102.8,10,moderate,79.3,15,moderate,80.1,11,moderate,88.0,8,small,,1,insufficient
Cairo Santos,,2,insufficient,99.5,70,normal,101.1,93,normal,99.5,97,normal,101.1,48,normal,,2,insufficient
Caleb Shudak,,,,,1,insufficient,,3,insufficient,,,,,,,,,
Caleb Sturgis,,2,insufficient,102.7,36,moderate,97.2,45,normal,87.4,42,normal,80.9,25,moderate,,,
Cam Little,,,,102.6,13,moderate,107.0,15,moderate,104.3,19,moderate,110.6,14,moderate,,2,insufficient
Cameron Dicker,,1,insufficient,102.4,30,moderate,104.3,39,moderate,118.3,41,normal,109.9,27,moderate,,,
Cedric Oglesby,,1,insufficient,,2,insufficient,,2,insufficient,,1,insufficient,,,,,,
Chad Ryland,,,,102.3,15,moderate,94.2,26,moderate,76.5,31,moderate,100.2,17,moderate,,1,insufficient
Chandler Catanzaro,,3,insufficient,99.4,33,moderate,99.1,44,normal,94.6,46,normal,95.1,15,moderate,,1,insufficient
Charlie Smyth,,,,,1,insufficient,,4,insufficient,71.1,5,small,114.2,5,small,,1,insufficient
Chase McLaughlin,,1,insufficient,102.2,41,normal,100.0,45,normal,82.4,48,normal,123.3,49,normal,,2,insufficient
Chris Blewitt,,,,,,,,,,,4,insufficient,,1,insufficient,,,
Chris Boswell,,2,insufficient,102.2,77,normal,97.5,87,normal,102.6,112,normal,122.9,60,normal,,3,insufficient
Chris Naggar,,,,,,,,1,insufficient,,,,,,,,,
Clint Stitser,,,,84.0,5,small,,2,insufficient,,1,insufficient,,,,,,
Cody Parkey,,,,102.6,34,moderate,93.7,47,normal,95.9,52,normal,125.1,10,moderate,,,
Connor Barth,,3,insufficient,101.2,51,normal,100.9,51,normal,98.2,68,normal,96.2,30,moderate,,,
Craig Hentrich,,,,,,,,2,insufficient,,2,insufficient,,4,insufficient,,,
Dan Bailey,100.0,5,small,98.1,66,normal,105.2,87,normal,102.1,82,normal,101.9,50,normal,,,
Dan Carpenter,,2,insufficient,101.8,71,normal,105.5,69,normal,100.2,98,normal,93.4,39,moderate,,2,insufficient
Daniel Carlson,,,,101.0,73,normal,102.4,65,normal,99.1,70,normal,104.1,50,normal,,1,insufficient
Danny Boyd,,,,,3,insufficient,,2,insufficient,,,,,,,,,
Dare Ogunbowale,,,,,1,insufficient,,,,,,,,,,,,
Dave Rayner,,,,96.1,25,moderate,82.9,26,moderate,87.3,28,moderate,80.9,11,moderate,,,
David Akers,101.3,8,small,102.5,120,normal,100.4,129,normal,94.3,133,normal,91.5,44,normal,,2,insufficient
David Buehler,,,,105.1,8,small,64.4,7,small,99.3,11,moderate,117.2,6,small,,,
Dominik Eberle,,,,,1,insufficient,,,,,1,insufficient,,2,insufficient,,,
Doug Brien,,,,99.1,20,moderate,101.6,25,moderate,116.8,26,moderate,,2,insufficient,,,
Dustin Hopkins,,2,insufficient,99.2,66,normal,100.6,75,normal,102.5,98,normal,90.6,45,normal,,1,insufficient
Eddy Pineiro,,1,insufficient,102.1,30,moderate,101.6,52,normal,104.1,51,normal,123.6,20,moderate,,1,insufficient
Elliott Fry,,,,,1,insufficient,,4,insufficient,,1,insufficient,,,,,,
Evan McPherson,,1,insufficient,98.2,26,moderate,107.1,28,moderate,99.8,45,normal,98.3,41,normal,,2,insufficient
Garrett Hartley,,4,insufficient,92.7,29,moderate,87.4,35,moderate,99.7,28,moderate,123.6,8,small,,,
Gary Anderson,,1,insufficient,100.9,25,moderate,110.9,25,moderate,101.2,41,normal,,2,insufficient,,,
Giorgio Tavecchio,,,,102.0,6,small,83.3,7,small,91.0,7,small,121.1,6,small,,,
Graham Gano,,2,insufficient,99.5,89,normal,92.8,116,normal,105.5,134,normal,104.4,65,normal,,2,insufficient
