rank,player,attempts,made,kick_plus
1,Rob Bironas,25,19,128.1
2,Eddy Pineiro,20,17,123.6
3,Chase McLaughlin,49,42,123.3
4,Chris Boswell,60,51,122.9
5,Phil Dawson,51,39,122.7
6,Paul Edinger,22,14,119.3
7,Josh Brown,55,37,118.0
8,Brandon Aubrey,35,29,117.2
9,Jason Hanson,53,35,116.9
10,Matt Prater,105,79,114.6
11,Stephen Gostkowski,41,30,114.0
12,Josh Lambo,22,16,113.8
13,Robbie Gould,50,36,112.5
14,Ryan Longwell,30,19,112.4
15,Joe Nedney,22,13,110.1
16,Will Reichard,23,18,110.0
17,Cameron Dicker,27,21,109.9
18,Nick Folk,76,54,109.6
19,Blair Walsh,34,24,109.5
20,Josh Scobee,39,26,109.1
21,Jason Elam,24,14,107.8
22,Ka'imi Fairbairn,68,50,107.2
23,Jason Myers,70,50,107.0
24,Justin Tucker,87,62,106.8
25,Neil Rackers,46,26,105.4
26,Graham Gano,65,45,104.4
27,Joey Slye,47,33,104.2
28,Daniel Carlson,50,36,104.1
29,Tyler Bass,21,15,103.8
30,Sebastian Janikowski,89,54,103.3
31,Adam Vinatieri,61,39,103.2
32,Matt Bryant,61,39,103.1
33,Blake Grupe,25,18,102.3
34,Younghoe Koo,41,29,102.2
35,Dan Bailey,50,33,101.9
36,Steven Hauschka,42,28,101.3
37,Cairo Santos,48,33,101.1
38,Jason Sanders,48,33,100.6
39,Jay Feely,30,17,98.8
40,Evan McPherson,41,28,98.3
41,Lawrence Tynes,20,11,97.7
42,Wil Lutz,43,28,97.6
43,Harrison Butker,50,33,97.5
44,Kris Brown,29,15,96.8
45,Connor Barth,30,18,96.2
46,Zane Gonzalez,28,18,95.2
47,Shayne Graham,31,17,95.1
48,Brandon McManus,80,50,93.6
49,Dan Carpenter,39,23,93.4
50,John Kasay,45,23,92.8
51,David Akers,44,24,91.5
52,Dustin Hopkins,45,27,90.6
53,Matt Gay,52,32,90.2
54,Brett Maher,30,18,90.1
55,Greg Zuerlein,78,46,90.0
56,Mason Crosby,79,44,88.2
57,Rian Lindell,34,17,87.6
58,Jake Elliott,49,29,86.6
59,Nick Novak,31,17,85.2
60,Olindo Mare,33,15,84.6
61,Caleb Sturgis,25,13,80.9
62,Greg Joseph,29,16,80.1
63,Randy Bullock,29,15,78.7
64,Ryan Succop,47,23,76.1
65,Mike Nugent,30,13,74.4
66,Billy Cundiff,21,5,38.5
