rank,player,year,attempts,kick_plus
1,Sebastian Janikowski,2009,29,126.1
2,Justin Tucker,2016,39,123.2
3,Jason Hanson,2003,23,122.9
4,Neil Rackers,2005,42,122.9
5,Jason Myers,2020,24,122.0
6,Jason Hanson,2008,22,121.4
7,Mike Vanderjagt,2003,37,119.5
8,Joe Nedney,2005,28,119.0
9,Sebastian Janikowski,2003,22,118.9
10,Doug Brien,2003,28,118.7
11,John Kasay,2006,27,117.9
12,Nick Folk,2024,22,116.8
13,Adam Vinatieri,2002,30,116.7
14,Jason Elam,2001,36,116.5
15,Matt Prater,2013,26,116.4
16,Matt Bryant,2018,21,116.2
17,Connor Barth,2011,28,116.1
18,Rob Bironas,2011,32,115.7
19,Sebastian Janikowski,2011,35,115.6
20,Rob Bironas,2010,26,115.1
21,Mike Vanderjagt,2001,34,114.7
22,Josh Lambo,2019,34,114.6
23,Josh Scobee,2011,25,114.5
24,Greg Zuerlein,2017,40,114.3
25,Justin Tucker,2019,29,114.2
26,Graham Gano,2020,32,114.1
27,John Carney,2001,31,114.0
28,Eddy Pineiro,2025,29,113.8
29,Rian Lindell,2006,25,113.8
30,Justin Tucker,2021,37,113.8
31,Paul Edinger,2002,28,113.7
32,Robbie Gould,2017,41,113.4
33,Will Reichard,2025,35,113.4
34,Jeff Wilkins,2003,42,113.3
35,Josh Lambo,2017,20,113.3
36,Nick Folk,2008,22,113.2
37,Paul Edinger,2001,31,113.1
38,Nick Folk,2025,29,113.0
39,Adam Vinatieri,2004,33,112.8
40,Blair Walsh,2012,38,112.5
41,John Carney,2002,35,112.5
42,Adam Vinatieri,2016,31,112.3
43,Ryan Succop,2016,24,112.2
44,Matt Bryant,2014,32,112.1
45,Phil Dawson,2012,31,112.1
46,Chris Boswell,2024,44,112.1
47,Shayne Graham,2003,25,112.0
48,Graham Gano,2017,30,111.9
49,Sebastian Janikowski,2012,34,111.9
50,Justin Tucker,2017,37,111.8
51,Adam Vinatieri,2014,31,111.7
52,Ryan Longwell,2009,28,111.4
53,Dan Bailey,2013,30,111.4
54,Ryan Longwell,2003,26,111.4
55,Cameron Dicker,2023,33,111.3
56,Zane Gonzalez,2021,22,111.1
57,David Akers,2004,32,111.0
58,Josh Brown,2004,25,111.0
59,Dan Bailey,2012,31,111.0
60,Younghoe Koo,2020,39,111.0
61,Brandon Aubrey,2024,47,110.9
62,Jason Myers,2024,30,110.9
63,Jason Sanders,2020,39,110.9
64,Steven Hauschka,2015,31,110.7
65,Matt Bryant,2016,37,110.7
66,Matt Stover,2004,32,110.7
67,Aldrick Rosas,2018,33,110.7
68,Mason Crosby,2019,24,110.6
69,Gary Anderson,2003,31,110.5
70,Wil Lutz,2019,36,110.5
71,Harrison Butker,2019,38,110.5
72,Rob Bironas,2009,32,110.4
73,Jason Elam,2006,29,110.4
74,Sebastian Janikowski,2004,28,110.3
75,Nick Folk,2023,30,110.3
76,Matt Gay,2022,30,110.3
77,Jason Hanson,2006,33,110.3
78,Matt Prater,2015,24,110.3
79,Cameron Dicker,2024,42,110.2
80,Graham Gano,2022,32,110.0
81,Wil Lutz,2024,34,110.0
82,Dustin Hopkins,2018,29,110.0
83,Robbie Gould,2018,34,109.9
84,Jason Myers,2018,36,109.9
85,Wil Lutz,2018,30,109.9
86,Josh Scobee,2013,25,109.9
87,John Kasay,2001,28,109.7
88,Kris Brown,2007,29,109.7
89,Brett Maher,2022,32,109.6
90,David Akers,2002,34,109.6
91,Ka'imi Fairbairn,2022,31,109.6
92,Adam Vinatieri,2006,28,109.6
93,Sebastian Janikowski,2014,22,109.5
94,Jake Elliott,2023,32,109.5
95,Stephen Gostkowski,2015,36,109.5
96,Cam Little,2024,29,109.5
97,Adam Vinatieri,2015,27,109.4
98,Ryan Longwell,2007,24,109.4
99,Shayne Graham,2004,31,109.4
100,Chris Boswell,2019,31,109.3
101,John Kasay,2010,29,109.3
102,Jay Feely,2010,27,109.3
103,Chris Boswell,2023,31,109.2
104,Adam Vinatieri,2010,28,109.2
105,Jake Bates,2024,29,109.2
106,Jay Feely,2007,23,109.2
107,David Akers,2001,31,109.1
108,Dan Bailey,2015,32,109.1
109,Brandon Aubrey,2023,38,109.1
110,Eddy Pineiro,2022,35,109.0
111,Brandon McManus,2019,34,109.0
112,Neil Rackers,2010,30,109.0
113,Brandon McManus,2020,34,108.9
114,Nick Folk,2021,39,108.9
115,Dan Bailey,2019,29,108.8
116,Chase McLaughlin,2024,32,108.8
117,Matt Stover,2006,30,108.8
118,Daniel Carlson,2022,37,108.6
119,Dustin Hopkins,2023,36,108.6
120,Matt Gay,2021,34,108.6
121,Nick Folk,2020,28,108.6
122,Chris Boswell,2020,20,108.6
123,Justin Tucker,2013,41,108.5
124,Daniel Carlson,2021,43,108.5
125,Dan Carpenter,2009,28,108.5
126,Jason Elam,2008,31,108.5
127,Morten Andersen,2002,26,108.4
128,Nate Kaeding,2005,24,108.3
129,John Kasay,2008,31,108.3
130,Stephen Gostkowski,2014,37,108.3
131,Josh Brown,2015,32,108.2
132,Mike Vanderjagt,2005,25,108.2
133,Ka'imi Fairbairn,2025,48,108.2
134,Morten Andersen,2001,28,108.1
135,Martin Gramatica,2002,39,108.1
136,Nate Kaeding,2006,29,108.1
137,Harrison Butker,2021,28,108.1
138,Justin Tucker,2012,33,108.1
139,Matt Bryant,2011,29,108.0
140,Jason Elam,2003,28,107.9
141,Ka'imi Fairbairn,2023,28,107.8
142,John Carney,2006,25,107.8
143,Jeff Reed,2007,25,107.8
144,Olindo Mare,2009,26,107.7
145,Jeff Wilkins,2005,26,107.7
146,Kris Brown,2003,22,107.7
147,Chris Boswell,2021,40,107.7
148,Cairo Santos,2022,23,107.7
149,Brandon McManus,2024,21,107.7
150,Robbie Gould,2006,36,107.7
151,Matt Bryant,2005,25,107.7
152,Evan McPherson,2025,28,107.6
153,Younghoe Koo,2021,29,107.6
154,Olindo Mare,2001,21,107.6
155,Rob Bironas,2008,33,107.6
156,Mike Nugent,2006,27,107.6
157,Josh Brown,2014,26,107.5
158,Chris Boswell,2017,38,107.5
159,Nate Kaeding,2009,35,107.5
160,Stephen Gostkowski,2013,41,107.4
161,Justin Tucker,2020,29,107.4
162,Jeff Wilkins,2006,37,107.3
163,Greg Zuerlein,2023,38,107.3
164,John Kasay,2004,22,107.3
165,Matt Stover,2002,25,107.2
166,Dan Carpenter,2014,38,107.2
167,Ryan Succop,2009,29,107.2
168,Cameron Dicker,2022,22,107.1
169,Matt Stover,2005,34,107.1
170,Cairo Santos,2020,32,107.1
171,Harrison Butker,2017,42,107.1
172,Jason Sanders,2024,41,107.1
173,Steven Hauschka,2013,35,107.0
174,Josh Lambo,2018,21,107.0
175,Zane Gonzalez,2025,22,107.0
176,Stephen Gostkowski,2017,40,107.0
177,Jason Hanson,2012,36,107.0
178,Steven Hauschka,2017,33,106.9
179,Cairo Santos,2023,38,106.9
180,Chase McLaughlin,2023,31,106.9
181,Nick Novak,2012,20,106.7
182,Robbie Gould,2011,32,106.6
183,Harrison Butker,2023,35,106.6
184,Jason Elam,2004,34,106.6
185,Sebastian Janikowski,2001,28,106.6
186,Cody Parkey,2017,23,106.6
187,Riley Patterson,2025,29,106.5
188,Shaun Suisham,2012,31,106.3
189,Connor Barth,2012,33,106.3
190,Phil Dawson,2001,25,106.3
191,Matt Bryant,2010,31,106.3
192,Dan Bailey,2014,29,106.2
193,Matt Stover,2003,38,106.2
194,Justin Tucker,2018,39,106.2
195,Phil Dawson,2005,29,106.2
196,Josh Brown,2008,36,106.2
197,Ryan Longwell,2004,28,106.2
198,Josh Brown,2009,24,106.1
199,Rian Lindell,2007,27,106.1
200,John Kasay,2003,38,106.0
201,Robbie Gould,2009,28,106.0
202,Joey Slye,2021,25,106.0
203,Joey Slye,2019,32,106.0
204,Jake Elliott,2021,33,105.8
205,Jason Hanson,2002,28,105.8
206,David Akers,2009,37,105.7
207,Josh Scobee,2012,28,105.7
