rank,player,attempts,seasons_played,career_kick_plus
1,Cameron Dicker,138,4,108.6
2,Brandon Aubrey,127,3,108.5
3,Justin Tucker,468,13,106.8
4,Jason Hanson,330,12,106.5
5,Mike Vanderjagt,170,6,106.0
6,John Kasay,303,11,105.1
7,Joe Nedney,209,9,104.6
8,Josh Lambo,147,7,104.4
9,Matt Stover,269,9,104.4
10,Eddy Pineiro,155,6,104.3
11,Rob Bironas,274,9,104.1
12,Jason Elam,276,9,103.9
13,Chris Boswell,341,11,103.8
14,Morten Andersen,147,6,103.7
15,Harrison Butker,284,9,103.6
16,Ka'imi Fairbairn,291,9,103.6
17,Jeff Wilkins,211,7,103.6
18,Shayne Graham,324,15,103.2
19,Sebastian Janikowski,507,17,103.2
20,Josh Brown,380,14,102.9
21,Nate Kaeding,210,8,102.9
22,Matt Bryant,464,18,102.6
23,Jason Myers,347,11,102.6
24,Neil Rackers,309,11,102.6
25,Ryan Longwell,303,11,102.3
26,Robbie Gould,517,18,102.3
27,Adam Vinatieri,546,19,102.0
28,Dan Bailey,290,10,102.0
29,John Carney,254,10,101.8
30,Chase McLaughlin,186,7,101.7
31,Dan Carpenter,281,9,101.6
32,Daniel Carlson,259,8,101.6
33,Wil Lutz,295,9,101.5
34,Steven Hauschka,310,13,101.5
35,Kai Forbath,154,9,101.5
36,Phil Dawson,491,18,101.1
37,Matt Prater,507,19,101.0
38,Nick Folk,507,18,101.0
39,Jason Sanders,221,7,100.8
40,Stephen Gostkowski,453,15,100.8
41,Evan McPherson,143,5,100.6
42,Matt Gay,216,7,100.6
43,Jay Feely,402,14,100.6
44,Younghoe Koo,217,8,100.2
45,Graham Gano,408,16,100.1
46,Cairo Santos,312,12,100.0
47,Shaun Suisham,245,10,100.0
48,John Hall,131,6,99.8
49,Riley Patterson,103,5,99.7
50,Connor Barth,203,9,99.6
51,Brandon McManus,362,12,99.4
52,Dustin Hopkins,287,10,99.4
53,Jake Elliott,258,9,99.1
54,Greg Zuerlein,411,13,99.1
55,Josh Scobee,301,12,99.0
56,David Akers,436,13,99.0
57,Joey Slye,215,7,98.9
58,Jeff Reed,258,9,98.8
59,Paul Edinger,153,5,98.7
60,Cody Parkey,143,7,98.4
61,Blair Walsh,187,6,98.3
62,Chandler Catanzaro,142,5,98.2
63,Ryan Succop,386,14,98.0
64,Rian Lindell,357,13,98.0
65,Randy Bullock,259,11,97.9
66,Tyler Bass,155,5,97.9
67,Mike Badgley,131,7,97.8
68,Olindo Mare,299,12,97.8
69,Zane Gonzalez,142,7,97.5
70,Lawrence Tynes,233,9,97.0
71,Mason Crosby,492,17,96.9
72,Greg Joseph,141,5,96.7
73,Todd Peterson,118,5,96.7
74,Nick Novak,222,10,96.4
75,Blake Grupe,105,3,96.3
76,Brett Maher,139,5,96.2
77,Mike Nugent,327,16,96.2
78,Kris Brown,270,10,95.6
79,Garrett Hartley,104,6,94.6
80,Caleb Sturgis,150,6,94.2
81,Martin Gramatica,135,7,93.9
82,Billy Cundiff,234,11,92.2
