rank,player,n_ranked_seasons,career_kick_plus,consistency_sd
1,Tyler Bass,5,97.9,2.0
2,Lawrence Tynes,8,97.0,2.1
3,Cameron Dicker,4,108.6,2.7
4,Brandon Aubrey,3,108.5,2.9
5,John Hall,3,99.8,3.3
6,Nick Novak,6,96.4,3.3
7,Steve Christie,3,94.9,3.5
8,Kai Forbath,3,101.5,4.1
9,Cairo Santos,9,100.0,4.4
10,Greg Joseph,5,96.7,4.4
11,Caleb Sturgis,4,94.2,4.4
12,Morten Andersen,6,103.7,4.6
13,Shayne Graham,9,103.2,4.6
14,Steven Hauschka,9,101.5,4.6
15,Ka'imi Fairbairn,8,103.6,4.7
16,Joey Slye,7,98.9,4.8
17,Mike Nugent,9,96.2,4.8
18,Alex Henery,3,96.6,5.0
19,Billy Cundiff,7,92.2,5.0
20,Phil Dawson,16,101.1,5.1
21,Jake Moody,3,89.6,5.1
22,Randy Bullock,9,97.9,5.2
23,Nate Kaeding,7,102.9,5.3
24,Matt Stover,8,104.4,5.4
25,Chandler Catanzaro,5,98.2,5.5
26,John Kasay,10,105.1,5.6
27,Olindo Mare,9,97.8,5.6
28,Josh Brown,12,102.9,5.7
29,Jay Feely,13,100.6,5.9
30,Ryan Succop,12,98.0,6.1
31,Dan Carpenter,9,101.6,6.2
32,Matt Bryant,13,102.6,6.4
33,Mike Badgley,3,97.8,6.4
34,Harrison Butker,9,103.6,6.5
35,Robbie Gould,16,102.3,6.6
36,Shaun Suisham,7,100.0,6.6
37,Brandon McManus,11,99.4,6.6
38,Daniel Carlson,8,101.6,6.9
39,Cody Parkey,5,98.4,6.9
40,Gary Anderson,3,103.7,7.0
41,Jason Elam,8,103.9,7.1
42,Matt Prater,16,101.0,7.1
43,Jake Elliott,8,99.1,7.1
44,Garrett Hartley,3,94.6,7.1
45,Stephen Gostkowski,13,100.8,7.2
46,Greg Zuerlein,12,99.1,7.2
47,Blake Grupe,3,96.3,7.3
48,Joe Nedney,6,104.6,7.5
49,Ryan Longwell,10,102.3,7.5
50,Chase McLaughlin,6,101.7,7.6
51,Wil Lutz,9,101.5,7.6
52,Rian Lindell,12,98.0,7.8
53,Mason Crosby,14,96.9,7.8
54,Jeff Wilkins,7,103.6,7.9
55,Matt Gay,6,100.6,7.9
56,Jason Sanders,7,100.8,8.0
57,Younghoe Koo,6,100.2,8.0
58,Eddy Pineiro,5,104.3,8.1
59,Evan McPherson,5,100.6,8.3
60,Justin Tucker,13,106.8,8.4
61,Josh Lambo,5,104.4,8.5
62,Rob Bironas,9,104.1,8.5
63,John Carney,7,101.8,8.5
64,Josh Scobee,10,99.0,8.5
65,Jeff Reed,8,98.8,8.5
66,Jason Hanson,11,106.5,8.6
67,David Akers,13,99.0,8.9
68,Jason Myers,10,102.6,9.3
69,Graham Gano,10,100.1,9.6
70,Dustin Hopkins,8,99.4,9.6
71,Mike Vanderjagt,5,106.0,9.8
72,Adam Vinatieri,18,102.0,9.8
73,Nick Folk,15,101.0,9.9
74,Connor Barth,5,99.6,10.1
75,Blair Walsh,5,98.3,10.2
76,Kris Brown,9,95.6,10.4
77,Zane Gonzalez,5,97.5,10.6
78,Chris Boswell,11,103.8,10.8
79,Dan Bailey,10,102.0,11.1
80,Sebastian Janikowski,17,103.2,11.2
81,Brett Maher,4,96.2,11.2
82,Neil Rackers,8,102.6,12.7
83,Chad Ryland,3,90.3,13.3
84,Martin Gramatica,3,93.9,13.8
85,Paul Edinger,5,98.7,14.6
86,Todd Peterson,4,96.7,15.8
