player,year,attempts,made,expected_made,kick_plus
Sebastian Janikowski,2009,29,26,20.6,126.1
Justin Tucker,2016,39,38,30.8,123.2
Jason Hanson,2003,23,22,17.9,122.9
Neil Rackers,2005,42,40,32.6,122.9
Jason Myers,2020,24,24,19.7,122.0
Jason Hanson,2008,22,21,17.3,121.4
Mike Vanderjagt,2003,37,37,31.0,119.5
Joe Nedney,2005,28,26,21.9,119.0
Sebastian Janikowski,2003,22,21,17.7,118.9
Doug Brien,2003,28,27,22.8,118.7
John Kasay,2006,27,24,20.4,117.9
Nick Folk,2024,22,21,18.0,116.8
Adam Vinatieri,2002,30,27,23.1,116.7
Jason Elam,2001,36,31,26.6,116.5
Matt Prater,2013,26,25,21.5,116.4
Matt Bryant,2018,21,20,17.2,116.2
Connor Barth,2011,28,26,22.4,116.1
Rob Bironas,2011,32,29,25.1,115.7
Sebastian Janikowski,2011,35,31,26.8,115.6
Rob Bironas,2010,26,24,20.9,115.1
Mike Vanderjagt,2001,34,28,24.4,114.7
Josh Lambo,2019,34,33,28.8,114.6
Josh Scobee,2011,25,23,20.1,114.5
Greg Zuerlein,2017,40,38,33.2,114.3
Justin Tucker,2019,29,28,24.5,114.2
Graham Gano,2020,32,31,27.2,114.1
John Carney,2001,31,27,23.7,114.0
Eddy Pineiro,2025,29,28,24.6,113.8
Rian Lindell,2006,25,23,20.2,113.8
Justin Tucker,2021,37,35,30.8,113.8
Paul Edinger,2002,28,22,19.3,113.7
Robbie Gould,2017,41,39,34.4,113.4
Will Reichard,2025,35,33,29.1,113.4
Jeff Wilkins,2003,42,39,34.4,113.3
Josh Lambo,2017,20,19,16.8,113.3
Nick Folk,2008,22,20,17.7,113.2
Paul Edinger,2001,31,26,23.0,113.1
Nick Folk,2025,29,28,24.8,113.0
Adam Vinatieri,2004,33,31,27.5,112.8
Blair Walsh,2012,38,35,31.1,112.5
John Carney,2002,35,31,27.6,112.5
Adam Vinatieri,2016,31,27,24.0,112.3
Ryan Succop,2016,24,22,19.6,112.2
Matt Bryant,2014,32,29,25.9,112.1
Phil Dawson,2012,31,29,25.9,112.1
Chris Boswell,2024,44,41,36.6,112.1
Shayne Graham,2003,25,22,19.6,112.0
Graham Gano,2017,30,29,25.9,111.9
Sebastian Janikowski,2012,34,31,27.7,111.9
Justin Tucker,2017,37,34,30.4,111.8
Adam Vinatieri,2014,31,30,26.8,111.7
Ryan Longwell,2009,28,26,23.3,111.4
Dan Bailey,2013,30,28,25.1,111.4
Ryan Longwell,2003,26,23,20.7,111.4
Cameron Dicker,2023,33,31,27.8,111.3
Zane Gonzalez,2021,22,20,18.0,111.1
David Akers,2004,32,27,24.3,111.0
Josh Brown,2004,25,23,20.7,111.0
Dan Bailey,2012,31,29,26.1,111.0
Younghoe Koo,2020,39,37,33.3,111.0
Brandon Aubrey,2024,47,40,36.1,110.9
Jason Myers,2024,30,26,23.4,110.9
Jason Sanders,2020,39,36,32.5,110.9
Steven Hauschka,2015,31,29,26.2,110.7
Matt Bryant,2016,37,34,30.7,110.7
Matt Stover,2004,32,29,26.2,110.7
Aldrick Rosas,2018,33,32,28.9,110.7
Mason Crosby,2019,24,22,19.9,110.6
Gary Anderson,2003,31,27,24.4,110.5
Wil Lutz,2019,36,32,29.0,110.5
Harrison Butker,2019,38,34,30.8,110.5
Rob Bironas,2009,32,27,24.5,110.4
Jason Elam,2006,29,27,24.5,110.4
Sebastian Janikowski,2004,28,25,22.7,110.3
Nick Folk,2023,30,29,26.3,110.3
Matt Gay,2022,30,28,25.4,110.3
Jason Hanson,2006,33,29,26.3,110.3
Matt Prater,2015,24,22,20.0,110.3
Cameron Dicker,2024,42,39,35.4,110.2
Graham Gano,2022,32,29,26.4,110.0
Wil Lutz,2024,34,31,28.2,110.0
Dustin Hopkins,2018,29,26,23.6,110.0
Robbie Gould,2018,34,33,30.0,109.9
Jason Myers,2018,36,33,30.0,109.9
Wil Lutz,2018,30,28,25.5,109.9
Josh Scobee,2013,25,23,20.9,109.9
John Kasay,2001,28,23,21.0,109.7
Kris Brown,2007,29,25,22.8,109.7
Brett Maher,2022,32,29,26.5,109.6
David Akers,2002,34,30,27.4,109.6
Ka'imi Fairbairn,2022,31,29,26.5,109.6
Adam Vinatieri,2006,28,25,22.8,109.6
Sebastian Janikowski,2014,22,19,17.3,109.5
Jake Elliott,2023,32,30,27.4,109.5
Stephen Gostkowski,2015,36,33,30.1,109.5
Cam Little,2024,29,27,24.7,109.5
Adam Vinatieri,2015,27,25,22.8,109.4
Ryan Longwell,2007,24,20,18.3,109.4
Shayne Graham,2004,31,27,24.7,109.4
Chris Boswell,2019,31,29,26.5,109.3
John Kasay,2010,29,25,22.9,109.3
Jay Feely,2010,27,24,22.0,109.3
Chris Boswell,2023,31,29,26.5,109.2
Adam Vinatieri,2010,28,26,23.8,109.2
Jake Bates,2024,29,26,23.8,109.2
Jay Feely,2007,23,21,19.2,109.2
David Akers,2001,31,26,23.8,109.1
Dan Bailey,2015,32,30,27.5,109.1
Brandon Aubrey,2023,38,36,33.0,109.1
Eddy Pineiro,2022,35,33,30.3,109.0
Brandon McManus,2019,34,29,26.6,109.0
Neil Rackers,2010,30,27,24.8,109.0
Brandon McManus,2020,34,28,25.7,108.9
Nick Folk,2021,39,36,33.1,108.9
Dan Bailey,2019,29,27,24.8,108.8
Chase McLaughlin,2024,32,30,27.6,108.8
Matt Stover,2006,30,28,25.7,108.8
Daniel Carlson,2022,37,34,31.3,108.6
Dustin Hopkins,2023,36,33,30.4,108.6
Matt Gay,2021,34,32,29.5,108.6
Nick Folk,2020,28,26,23.9,108.6
Chris Boswell,2020,20,19,17.5,108.6
Justin Tucker,2013,41,38,35.0,108.5
Daniel Carlson,2021,43,40,36.9,108.5
Dan Carpenter,2009,28,25,23.0,108.5
Jason Elam,2008,31,29,26.7,108.5
Morten Andersen,2002,26,22,20.3,108.4
Nate Kaeding,2005,24,21,19.4,108.3
John Kasay,2008,31,28,25.9,108.3
Stephen Gostkowski,2014,37,35,32.3,108.3
Josh Brown,2015,32,30,27.7,108.2
Mike Vanderjagt,2005,25,23,21.3,108.2
Ka'imi Fairbairn,2025,48,44,40.7,108.2
Morten Andersen,2001,28,23,21.3,108.1
Martin Gramatica,2002,39,32,29.6,108.1
Nate Kaeding,2006,29,26,24.0,108.1
Harrison Butker,2021,28,25,23.1,108.1
Justin Tucker,2012,33,30,27.8,108.1
Matt Bryant,2011,29,27,25.0,108.0
Jason Elam,2003,28,25,23.2,107.9
Ka'imi Fairbairn,2023,28,27,25.0,107.8
John Carney,2006,25,23,21.3,107.8
Jeff Reed,2007,25,23,21.3,107.8
Olindo Mare,2009,26,24,22.3,107.7
Jeff Wilkins,2005,26,23,21.4,107.7
Kris Brown,2003,22,18,16.7,107.7
Chris Boswell,2021,40,36,33.4,107.7
Cairo Santos,2022,23,21,19.5,107.7
Brandon McManus,2024,21,20,18.6,107.7
Robbie Gould,2006,36,32,29.7,107.7
Matt Bryant,2005,25,21,19.5,107.7
Evan McPherson,2025,28,25,23.2,107.6
Younghoe Koo,2021,29,27,25.1,107.6
Olindo Mare,2001,21,19,17.7,107.6
Rob Bironas,2008,33,29,27.0,107.6
Mike Nugent,2006,27,24,22.3,107.6
Josh Brown,2014,26,24,22.3,107.5
Chris Boswell,2017,38,35,32.6,107.5
